Rk,Player,age,WS,salary,projSalary,playerTeam
1,Precious Achiuwa,22,2.5,45780966.00,48070014.00,Toronto Raptors
2,Steven Adams,28,6.8,44310840.00,47366760.00,Memphis Grizzlies
3,Bam Adebayo,24,7.2,44211146.00,47063478.00,Miami Heat
4,Santi Aldama,21,0.3,43848000.00,46872000.00,Memphis Grizzlies
5,LaMarcus Aldridge,36,3.1,41180544.00,44474988.00,Brooklyn Nets
6,Nickeil Alexander-Walker,23,0.1,40918900.00,44119845.00,TOT
7,Grayson Allen,26,4.2,39344970.00,42492568.00,Milwaukee Bucks
8,Jarrett Allen,23,8.5,39344970.00,42492568.00,Cleveland Cavaliers
9,Jose Alvarado,23,2.1,39344900.00,42492492.00,New Orleans Pelicans
10,Justin Anderson,28,0.4,39344900.00,42492492.00,TOT
11,Kyle Anderson,28,3.5,37980720.00,40600080.00,Memphis Grizzlies
12,Giannis Antetokounmpo,27,12.9,36016200.00,37653300.00,Milwaukee Bucks
13,Thanasis Antetokounmpo,29,0.9,36000000.00,38482759.00,Milwaukee Bucks
14,Carmelo Anthony,37,3.6,35500000.00,37948276.00,Los Angeles Lakers
15,Cole Anthony,21,1.6,35361360.00,37980720.00,Orlando Magic
16,OG Anunoby,24,3.7,35344828.00,38172414.00,Toronto Raptors
17,Ryan Arcidiacono,27,0.1,34916200.00,36503300.00,New York Knicks
18,Trevor Ariza,36,0.2,34502130.00,37262300.00,Los Angeles Lakers
19,D.J. Augustin,34,0.8,31650600.00,33833400.00,TOT
20,Deni Avdija,21,2.4,31610000.00,33790000.00,Washington Wizards
21,Joel Ayayi,21,0,31610000.00,33790000.00,Washington Wizards
22,Deandre Ayton,23,7.3,31590000.00,33930000.00,Phoenix Suns
23,Udoka Azubuike,22,0.6,31590000.00,33930000.00,Utah Jazz
24,Marvin Bagley III,22,2,31579390.00,33616770.00,TOT
25,LaMelo Ball,20,5.8,31579390.00,33616770.00,Charlotte Hornets
26,Lonzo Ball,24,2.2,31320000.00,33640000.00,Chicago Bulls
27,Mo Bamba,23,4.5,31300000.00,28900000.00,Orlando Magic
28,Desmond Bane,23,7.2,30864198.00,33333333.00,Memphis Grizzlies
29,Dalano Banton,22,0.4,30800000.00,28400000.00,Toronto Raptors
30,Cat Barber,27,-0.1,30510423.00,32478837.00,Atlanta Hawks
31,Harrison Barnes,29,6,30133333.00,32393333.00,Sacramento Kings
32,Scottie Barnes,20,6.6,30013500.00,31377750.00,Toronto Raptors
33,RJ Barrett,21,2.3,29900000.00,30100000.00,New York Knicks
34,Will Barton,31,3.2,32405817.00,,Denver Nuggets
35,Paris Bass,26,0,29467800.00,31650600.00,Phoenix Suns
36,Charles Bassey,21,0.8,28103550.00,30351834.00,Philadelphia 76ers
37,Keita Bates-Diop,26,1.6,28103550.00,30351834.00,San Antonio Spurs
38,Nicolas Batum,33,3.7,28103550.00,30351834.00,Los Angeles Clippers
39,Kent Bazemore,32,0.1,28103550.00,30351834.00,Los Angeles Lakers
40,Darius Bazley,21,1.8,27000000.00,26500000.00,Oklahoma City Thunder
41,Bradley Beal,28,1.4,26984128.00,28333334.00,Washington Wizards
42,Malik Beasley,25,2.9,34967442.00,36596549.00,Minnesota Timberwolves
