Rk,MP,FT,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
1,1725,78,146,327,82,37,41,84,151,664
2,1999,108,349,411,256,65,60,115,153,528
3,1825,256,137,427,190,80,44,148,171,1068
4,360,20,33,54,21,6,10,16,36,132
5,1050,89,73,185,42,14,47,44,78,607
6,1466,81,37,150,156,46,23,93,103,692
7,1805,64,32,190,100,46,18,43,96,733
8,1809,165,192,410,92,44,75,94,97,904
9,834,36,25,75,152,71,7,40,73,330
10,316,15,4,42,33,8,6,8,22,102
11,1484,67,69,299,183,77,45,71,108,521
12,2204,553,134,644,388,72,91,219,212,2002
13,473,29,40,61,22,16,12,26,68,171
14,1793,132,62,226,68,47,52,59,166,919
15,2059,216,32,316,369,46,17,170,171,1062
16,1728,89,74,190,125,71,25,80,131,822
17,76,0,0,8,4,1,0,3,5,16
18,462,10,10,72,27,13,6,11,20,96
19,883,38,11,57,107,17,1,56,39,294
20,1984,103,52,373,167,59,44,87,190,685
21,20,0,1,2,4,0,0,0,0,2
22,1713,106,149,444,84,40,40,91,142,997
23,195,6,18,53,0,1,11,12,25,80
24,1146,67,105,233,36,22,18,39,93,540
25,2422,212,108,393,571,119,30,245,237,1508
26,1212,21,35,155,178,64,31,82,85,455
27,1824,57,148,424,85,38,118,77,182,756
28,2266,140,46,288,208,92,29,111,196,1384
29,696,26,38,86,99,28,10,53,68,205
30,13,0,1,2,3,0,0,1,1,0
31,2587,341,82,350,186,53,14,118,94,1265
32,2617,158,195,362,256,80,55,136,192,1134
33,2417,290,66,342,208,43,16,151,142,1402
34,2277,102,44,296,276,55,31,127,114,1043
35,7,2,2,2,0,1,0,2,2,6
36,168,9,22,40,7,5,17,8,32,69
37,956,46,62,169,41,27,14,45,61,335
38,1462,25,29,225,100,58,42,40,80,491
39,545,13,13,56,34,25,9,21,70,132
40,1924,117,71,365,97,58,70,90,68,745
41,1439,169,38,151,265,36,15,135,95,928
42,1976,49,26,201,116,43,12,43,88,953
43,2,0,1,0,0,1,0,0,2,0
44,1026,21,42,121,66,49,25,31,113,284
45,807,36,12,105,31,17,12,19,85,311
46,1476,96,62,178,268,67,52,73,174,533
47,2704,210,107,334,233,73,16,96,128,1321
48,991,53,122,117,56,30,26,29,104,247
49,729,64,79,98,55,21,42,46,107,349
50,506,38,63,104,23,12,26,25,70,210
51,1142,59,62,232,159,41,26,87,128,433
52,1361,89,28,154,225,69,19,116,85,534
53,349,6,16,29,19,13,1,17,29,95
54,1848,97,29,221,194,68,14,70,132,950
55,2131,223,58,238,120,34,1,118,116,1248
