Rk,Player,age,proPic,WS,salary,projSalary
1,Precious Achiuwa\achiupr01,22,,2.5,$45780966,$48070014
2,Steven Adams\adamsst01,28,,6.8,$44310840,$47366760
3,Bam Adebayo\adebaba01,24,,7.2,$44211146,$47063478
4,Santi Aldama\aldamsa01,21,,0.3,$43848000,$46872000
5,LaMarcus Aldridge\aldrila01,36,,3.1,$41180544,$44474988
6,Nickeil Alexander-Walker\alexani01,23,,0.1,$40918900,$44119845
7,Grayson Allen\allengr01,26,,4.2,$39344970,$42492568
8,Jarrett Allen\allenja01,23,,8.5,$39344970,$42492568
9,Jose Alvarado\alvarjo01,23,,2.1,$39344900,$42492492
10,Justin Anderson\anderju01,28,,0.4,$39344900,$42492492
11,Kyle Anderson\anderky01,28,,3.5,$37980720,$40600080
12,Giannis Antetokounmpo\antetgi01,27,,12.9,$36016200,$37653300
13,Thanasis Antetokounmpo\antetth01,29,,0.9,$36000000,$38482759
14,Carmelo Anthony\anthoca01,37,,3.6,$35500000,$37948276
15,Cole Anthony\anthoco01,21,,1.6,$35361360,$37980720
16,OG Anunoby\anunoog01,24,,3.7,$35344828,$38172414
17,Ryan Arcidiacono\arcidry01,27,,0.1,$34916200,$36503300
18,Trevor Ariza\arizatr01,36,,0.2,$34502130,$37262300
19,D.J. Augustin\augusdj01,34,,0.8,$31650600,$33833400
20,Deni Avdija\avdijde01,21,,2.4,$31610000,$33790000
21,Joel Ayayi\ayayijo01,21,,0,$31610000,$33790000
22,Deandre Ayton\aytonde01,23,,7.3,$31590000,$33930000
23,Udoka Azubuike\azubuud01,22,,0.6,$31590000,$33930000
24,Marvin Bagley III\baglema01,22,,2,$31579390,$33616770
25,LaMelo Ball\ballla01,20,,5.8,$31579390,$33616770
26,Lonzo Ball\balllo01,24,,2.2,$31320000,$33640000
27,Mo Bamba\bambamo01,23,,4.5,$31300000,$28900000
28,Desmond Bane\banede01,23,,7.2,$30864198,$33333333
29,Dalano Banton\bantoda01,22,,0.4,$30800000,$28400000
30,Cat Barber\barbeca01,27,,-0.1,$30510423,$32478837
31,Harrison Barnes\barneha02,29,,6,$30133333,$32393333
32,Scottie Barnes\barnesc01,20,,6.6,$30013500,$31377750
33,RJ Barrett\barrerj01,21,,2.3,$29900000,$30100000
34,Will Barton\bartowi01,31,,3.2,$32405817,
35,Paris Bass\basspa01,26,,0,$29467800,$31650600
36,Charles Bassey\bassech01,21,,0.8,$28103550,$30351834
37,Keita Bates-Diop\bateske01,26,,1.6,$28103550,$30351834
38,Nicolas Batum\batumni01,33,,3.7,$28103550,$30351834
39,Kent Bazemore\bazemke01,32,,0.1,$28103550,$30351834
40,Darius Bazley\bazleda01,21,,1.8,$27000000,$26500000
41,Bradley Beal\bealbr01,28,,1.4,$26984128,$28333334
42,Malik Beasley\beaslma01,25,,2.9,$34967442,$36596549
43,Jordan Bell\belljo01,27,,0,$26000000,$27300000
44,DeAndre' Bembry\bembrde01,27,,2.2,$24830357,$26669643
45,Dāvis Bertāns\bertada01,29,,0.9,$24026712,$25806469
46,Patrick Beverley\beverpa01,33,,4.1,$24000000,$22000000
47,Saddiq Bey\beysa01,22,,4,$23000000,$23500000
48,Khem Birch\birchkh01,29,,2.6,$22477273,$20522727
49,Goga Bitadze\bitadgo01,22,,1.9,$21700000,$22600000
50,Bismack Biyombo\biyombi01,29,,1.8,$21306816,$19602273
51,Nemanja Bjelica\bjeline01,33,,3,$21000000,$22680000
52,Eric Bledsoe\bledser01,32,,1.3,$20482143,
53,Keljin Blevins\blevike01,26,,-0.5,$20475000,$21450000
54,Bogdan Bogdanović\bogdabo01,29,,3.7,$20284091,$18352273
